,auc,evd,visual_index,timing_index,strategy_index
1059472936,0.7174425087731329,-622.751106778378,0.7705425998781094,0.9973453037037517,-0.22680270382564238
1059468092,0.7351202667301737,-1355.3844534214077,5.424073033861347,4.586857422218252,0.8372156116430958
1058692080,0.8734653966967271,-907.428044090102,16.441325048547846,4.686529307173471,11.754795741374375
1059233617,0.768130330677787,-1353.1119497714972,6.554521569866729,4.0840693761908335,2.4704521936758956
1058692082,0.8553926835708441,-1172.832742753526,4.8780296289665435,5.442851164246427,-0.5648215352798838
1059468094,0.8133730373096144,-796.2870341832095,6.177384791318575,3.546165323691055,2.63121946762752
1059234095,0.8400787445035234,-1149.4778545449735,5.0069940369578925,6.7215162694233594,-1.714522232465467
1061695378,0.7600373848675479,-1585.0759189785895,2.6601987427811493,6.734931300475077,-4.0747325576939275
1062313505,0.7523954895856992,-1901.245945227398,0.06364720883294211,11.254488831111392,-11.19084162227845
1061474921,0.7683919261256844,-1100.6301711267806,8.433092963296767,1.918075615101669,6.515017348195098
1062327095,0.8074129539953044,-1061.5232260851262,11.370967394563486,5.017918777258509,6.353048617304977
1061722976,0.8120133811250116,-968.7207079828222,12.045537365333688,6.179408198935346,5.866129166398342
1061505394,0.7191967396366545,-1364.2919470615598,5.3162951885538545,3.320907171822192,1.9953880167316624
1069671000,0.7661822629202206,-1515.170830626601,6.188682855258106,2.4568173109617097,3.7318655442963964
1070957226,0.7994024667049526,-1158.2280519163396,7.758096721127727,4.784985461135868,2.9731112599918594
1070619080,0.7796312028009534,-1648.8474172200367,4.109153551419341,4.979148676635158,-0.8699951252158167
1072354762,0.8423507567168654,-1002.2717810807226,12.693873843264052,3.368518426343962,9.32535541692009
1072577074,0.8374121278600286,-1015.8201209563267,14.62970655050196,2.2060723653558103,12.423634185146149
1074495186,0.7173346724896188,-1833.9565586422323,1.1378139254903092,5.803564866914116,-4.665750941423807
1072339169,0.7949024350765705,-1340.6246947409309,4.906099711133676,5.828055931819643,-0.921956220685967
1072547384,0.8151330481459116,-1224.3487912922865,6.301903331481691,7.1567819547920495,-0.8548786233103582
1074477976,0.7989671464089709,-1499.1940849374514,4.746654675667421,7.973402588913764,-3.226747913246343
1074477981,0.7364575744542654,-1570.65431554128,2.252709821779784,2.897575881330164,-0.6448660595503801
1074920488,0.7965815018593388,-1258.537213636795,7.759540387450671,5.633484883829991,2.1260555036206803
1074670616,0.8086130592201728,-1294.2138486561307,5.7088060699386896,8.079175311466406,-2.370369241527716
1072145766,0.7587067453191914,-2057.952034579859,2.0050463094144813,8.336450543730404,-6.331404234315922
1072339697,0.8256072615195432,-1479.5975095066096,4.719359479046227,8.478161169271255,-3.7588016902250274
1074481734,0.7756850197205915,-2312.198122050664,0.7925368623378117,13.354127185434885,-12.561590323097073
1094656577,0.8074391103319067,-1040.511922926009,6.900516379528542,3.8830709728499424,3.017445406678599
1094100826,0.8233311651872258,-577.9106071612405,7.735389605029774,4.761657792802794,2.9737318122269807
1095128738,0.7834333377333561,-1089.1078250640458,7.936735915158738,2.696957542641021,5.239778372517717
1092626068,0.7801666474132759,-1067.531896283137,9.690198363782514,2.671848701955665,7.018349661826849
1093153433,0.735890194385051,-1029.8400103831154,7.81517189318793,2.354959330975283,5.4602125622126465
1093379122,0.697782156489849,-1228.4448736895501,8.488777721396499,1.5312273653204134,6.957550356076085
1098609458,0.7428967024018597,-2064.9130313608694,3.130778484464372,6.740313489349127,-3.609535004884755
1099181430,0.8042414140558051,-1824.5907655210976,4.014254285691113,12.478486010200177,-8.464231724509064
1098385687,0.8490020972870577,-1008.8807617371058,7.042966550461041,8.312260005012325,-1.269293454551284
1101080541,0.7893537905265022,-751.9836407419789,8.962656094153125,2.9201694434876435,6.042486650665482
1101322871,0.7985007978280025,-710.5923104843678,8.143013109095008,3.1857784451689284,4.95723466392608
1100793165,0.8154587405418752,-905.6404283227384,5.2078224211209285,4.850362630877727,0.35745979024320196
1111249595,0.8449030904909913,-763.2211789022549,14.418557244619103,4.814412107500577,9.604145137118525
1111426400,0.8520230130619741,-673.8938181657868,18.123072059217023,5.159702843373072,12.96336921584395
1112117024,0.7867914264226623,-1230.785717144041,12.04888951836622,4.6861270593555995,7.362762459010621
1111427544,0.8650896414342629,-834.4861349515777,14.78297713939891,0.98334490304993,13.799632236348979
1112338074,0.6916472060645664,-938.7078897111933,1.2999569991445046,0.050645855660953046,1.2493111434835515
1112117022,0.7974991401579183,-942.4375606135072,11.173611953099984,0.44242857481898173,10.731183378281003
1113723874,0.6953781262995308,-2039.161243194074,0.2450568179519893,4.377980438297622,-4.1329236203456325
1113450532,0.7568432432432433,-1476.2430720055781,1.897197173678681,5.188780284644717,-3.291583110966036
1113937415,0.7123890164115889,-1899.0289881529607,0.12827374192133975,6.4594486799351065,-6.331174938013767
1116896007,0.8588904829215807,-600.5909988145577,24.98167452471709,6.1619129691055745,18.819761555611514
1116697809,0.8031386115845575,-968.9227527369803,14.545633124963366,4.4056832088724835,10.139949916090883
1116433179,0.825734642239623,-931.5230475820936,9.984344843692174,3.4803149362055743,6.5040299074866
1124236078,0.8514241211880993,-569.2570259136191,34.012749370003974,3.5084748558072505,30.504274514196723
1123789401,0.8745496324066125,-580.3588669438104,30.879383573473834,5.834490690940855,25.044892882532977
1124031793,0.8447288765088207,-630.4975966487182,29.525078151654927,3.874194469309323,25.650883682345604
1125704043,0.8074113142312547,-968.8799534648642,21.98476478404084,5.202163888383058,16.782600895657783
1125254502,0.7771306964770329,-1319.2195808921679,10.764397046708826,5.670443123530359,5.093953923178467
1125489477,0.7578234798340124,-1180.7370712431075,13.506288921082058,4.095339114204828,9.41094980687723
